Model,Imputation,Accuracy,Precision,Recall,F1 Score
Logistic Regression,Regression,0.8850467289719626,0.7165354330708661,0.5112359550561798,0.5967213114754099
Logistic Regression,MICE,0.8841121495327103,0.7109375,0.5112359550561798,0.5947712418300654
Logistic Regression,KNN,0.8766355140186916,0.6949152542372882,0.4606741573033708,0.5540540540540541
Random Forest,Regression,0.9532710280373832,0.9210526315789473,0.7865168539325843,0.8484848484848485
Random Forest,MICE,0.9532710280373832,0.9102564102564102,0.797752808988764,0.8502994011976048
Random Forest,KNN,0.9532710280373832,0.9102564102564102,0.797752808988764,0.8502994011976048
Gradient Boosting,Regression,0.905607476635514,0.7730496453900709,0.6123595505617978,0.6833855799373041
Gradient Boosting,MICE,0.905607476635514,0.7692307692307693,0.6179775280898876,0.6853582554517134
Gradient Boosting,KNN,0.8953271028037383,0.7391304347826086,0.5730337078651685,0.6455696202531646
